'hui'kan'jiang'tao'yong 回看江涛涌
'hui'shou'ju'lian'min'guo'tu 回首剧怜民国土
'hui'su'nian'nian'jiu'ge 回溯廿年纠葛
'hui'ta'qian'qing'cheng'bi 会它千顷澄碧
'hun'fei'wan'li 魂飞万里
'huo'yi'hu'po'huo'shan'qu 或依湖泊或山区
'huo'zhuo'si'shi'yu 活捉四十余
'ji'ci'li'feng'bo 几次历风波
'ji'du'xiang'si'bei'gan'shang 几度相思倍感伤
'ji'fan'ci'jian'bei'ji'bi 及返此间被击毙
'ji'jing'yin'shi'qi'yun'qing 即景吟诗气韵清
'ji'liu'xi'he'shui'dian'zhan 记流溪河水电站
'ji'lv'yan'ming 纪律严明
'ji'qiang'san'ting 机枪三挺
'ji'shi'bu'ke'de 机失不可得
'ji'shi'jin'yi'shu 机势今已熟
'ji'shi'tong'yin'huang'long'jiu 几时痛饮黄龙酒
'ji'xi'huan'zuo'di'wang'zhou 几希幻作帝王州
'ji'zai'bu'xiang'jian 几载不相见
'jia'guo'shi'nian'duo'yin'hen 家国十年多隐恨
'jia'ji'ri'fei 夹击日匪
'jia'qiang'tuan'jie 加强团结
'jia'xuan'li'wan'jun 稼轩力万钧
'jian'feng'ling'shang'chan'you'lan 尖峰岭上产幽兰
'jian'jiu'jiu'zui 见酒就醉
'jian'mie'ri'fei 歼灭日匪
'jian'nan'du'long'fu 艰难毒龙伏
'jian'nan'wei'qu'shi 艰难未去师
'jian'nv'ren'jiu'shui 见女人就睡
'jian'qian'jiu'na 见钱就拿
'jian'ren'jiu'sha 见人就杀
'jian'she'shi'nian'huan'xin'zhuang 建设十年换新装
'jian'she'zhan'jian'nan 建设战艰难
'jian'xin'gong'du'yi'hua'nian 艰辛攻读忆华年
'jian'xin'ju'mei'yuan 坚心拒美援
'jiang'huai'jin'yun 江淮斤运
'jiang'jun'dong'qu'si'jie'lue 将军东去肆劫掠
'jiang'jun'huo'hua'jing'cheng'xian 将军火化竟成仙
'jiang'jun'liu'mei'yu'tao'guang 将军留美欲韬光
'jiang'jun'ma'pa'si 蒋军骂怕死
'jiang'jun'qiu'ba'hao'shi'ren 将军丘八号诗人
'jiang'jun'zhong'yong'zhen'ying'huan 将军忠勇震瀛寰
'jiang'liu'zi'qian'gu 江流自千古
'jiang'nan'feng'yu'duo 江南风雨多
'jiang'shan'dian'suo 江山点索
'jiang'shan'yi'jiu'shi 江山依旧是
'jiang'shui'su'yuan'chang 江水溯源长
'jiang'tou'chang'luo'hui 江头唱落晖
'jiang'wang'ying'hui'dang'nian'cuo 降王应悔当年错
